BEDAT,Price_Change_rel,End-Date,Schädling-TotalFrequency,Schädling-MeanSentiment,GeneralWoodDamage-TotalFrequency,GeneralWoodDamage-MeanSentiment,Wetter-TotalFrequency,Wetter-MeanSentiment,Folgeindustrie-TotalFrequency,Folgeindustrie-MeanSentiment,rolling-Schädling-MeanSentiment,rolling-GeneralWoodDamage-MeanSentiment,rolling-Wetter-MeanSentiment,rolling-Folgeindustrie-MeanSentiment,Unnamed: 15
2020-01-13,-0.00679628313358192,7/17/2019,5.628321571247499,-0.5162612788886367,5.936028199244619,-0.8759899389707417,0.8503218286031261,-0.2549778124767998,-0.08044969188107842,-2.0662436554047536e-05,-0.4511064174818844,-0.40310030222889526,-0.07739403670961795,-0.03801266194633826,
2020-03-10,-0.05578658786536919,5/31/2020,7.304873780502978,-0.34848610179391437,1.1790548585763023,0.3976182522663609,2.2700986944349926,-0.13866211843413606,0.8577826782021993,0.2477432805635854,-0.18720947554121692,-0.516126213918051,-0.4364703598973716,0.41061130504658816,
2020-07-27,-0.04718244166170901,6/26/2019,5.17780946678267,-0.3045722288971267,2.473295666296447,0.2893372811766564,1.5656421749202836,0.20874063022260364,3.315846614266178,0.2605534272677004,-0.4817587611267701,-0.001721204561620615,-0.4817285406559444,0.05473443038205118,
2020-08-23,0.024135319813833336,8/13/2019,13.477826467212761,0.5365610351882644,-5.5482283991921975,-0.21552977934685302,1.870005032334436,0.26755201860230815,1.8230168902085233,0.9814970615582891,-0.6536714284782005,-0.006097942091045652,0.14067838471884347,0.254843330951535,
2021-04-09,0.08468040759719281,8/31/2019,-4.246872404587335,-0.08912250323545763,4.389998379025375,0.3550567693729013,-0.0071793102294357425,-0.004119160521340426,1.6866385737434848,-0.002106685750562415,-0.28857809952492924,0.15458320488933108,0.13039333878030357,-0.20598829087563794,
2019-04-13,0.020090892943874374,10/24/2019,7.825496227588717,0.007820053149184603,-3.450580328459092,-0.25811631541471936,1.5881439146744718,0.401289392001605,3.98809683426316,0.3341782072538181,-0.3746340745550776,-0.09086999330813308,0.30323224952946615,0.03568763869273389,
2020-06-09,-0.028788305557048262,9/9/2019,10.968850681128806,0.6868700461841402,2.222686838074405,-0.4662827698534745,1.9329642191671699,0.5139707662815841,-1.4120902468544299,-0.6231476001297145,-0.09359855284751832,-0.22413507740259786,-0.06029807229811113,0.5419896803200682,
2019-08-12,-0.019607565546185864,7/22/2020,2.2853433824551,-0.2865339932551116,0.07098269829388837,-0.11980225200364762,1.5105779796948422,0.6416515745725082,4.7191951765467035,-0.5292135492789684,-0.34075665526933596,0.03779048472520037,-0.26725810374974796,0.24931527016789273,
2019-11-13,0.04205099458544065,3/10/2021,3.5889768157820603,0.07976758465455255,-1.5281406364284829,-0.6518105729155391,1.2896266185722107,-0.3086064445619091,-1.0546817946819127,0.5806494919450703,-0.07859903888112804,-0.12656592033733208,0.15046144827010555,0.13186655108757053,
2020-01-14,0.05607327999671813,12/3/2019,-1.5078780036543762,0.21491646746276977,7.745916631239403,0.20648077959705124,1.762595319723323,-0.1387987396485054,6.080790614152137,-0.06698214280716971,-0.22251994524784413,-0.3996139549262419,0.29973875966736263,0.49648968032205354,
